student,dataset,metric,mean,std,ci_lower,ci_upper,n_runs
efficientnet_b0,ham10000,accuracy,0.395,0.354,0.275,0.515,36
efficientnet_b0,ham10000,avg_ce_loss,0.405,0.002,0.385,0.424,2
efficientnet_b0,ham10000,macro_f1,0.242,0.267,0.152,0.333,36
efficientnet_b0,ham10000,macro_precision,0.272,0.292,0.173,0.371,36
efficientnet_b0,ham10000,macro_recall,0.321,0.218,0.247,0.395,36
efficientnet_b0,ham10000,micro_f1,0.959,0.001,0.946,0.972,2
efficientnet_b0,ham10000,weighted_f1,0.383,0.372,0.257,0.509,36
efficientnet_b0,isic,accuracy,0.874,0.185,0.784,0.963,19
efficientnet_b0,isic,macro_f1,0.899,0.057,0.87,0.928,17
efficientnet_b0,isic,macro_precision,0.922,0.026,0.909,0.935,17
efficientnet_b0,isic,macro_recall,0.887,0.059,0.856,0.917,17
efficientnet_b0,isic,weighted_f1,0.931,0.035,0.914,0.949,17
efficientnet_b0,oct2017,accuracy,0.941,0.087,0.912,0.971,35
efficientnet_b0,oct2017,macro_f1,0.938,0.013,0.934,0.943,34
efficientnet_b0,oct2017,macro_precision,0.936,0.014,0.931,0.941,34
efficientnet_b0,oct2017,macro_recall,0.942,0.012,0.938,0.946,34
efficientnet_b0,oct2017,weighted_f1,0.956,0.009,0.953,0.959,34
mobilenetv2,ham10000,accuracy,0.514,0.273,0.227,0.801,6
mobilenetv2,ham10000,avg_ce_loss,1.012,0.371,0.622,1.402,6
mobilenetv2,ham10000,macro_f1,0.671,0.09,0.577,0.765,6
mobilenetv2,ham10000,macro_precision,0.681,0.077,0.601,0.761,6
mobilenetv2,ham10000,macro_recall,0.708,0.07,0.635,0.782,6
mobilenetv2,ham10000,micro_f1,0.514,0.273,0.227,0.801,6
mobilenetv2,ham10000,weighted_f1,0.535,0.26,0.262,0.808,6
mobilenetv2,isic,accuracy,0.645,0.107,0.532,0.757,6
mobilenetv2,isic,avg_ce_loss,1.059,0.373,0.668,1.451,6
mobilenetv2,isic,macro_f1,0.595,0.085,0.505,0.684,6
mobilenetv2,isic,macro_precision,0.632,0.059,0.571,0.694,6
mobilenetv2,isic,macro_recall,0.601,0.069,0.529,0.673,6
mobilenetv2,isic,micro_f1,0.645,0.107,0.532,0.757,6
mobilenetv2,isic,weighted_f1,0.631,0.122,0.504,0.759,6
mobilenetv2,oct2017,accuracy,0.959,0.007,0.952,0.966,6
mobilenetv2,oct2017,avg_ce_loss,0.137,0.021,0.115,0.159,6
mobilenetv2,oct2017,macro_f1,0.942,0.008,0.934,0.951,6
mobilenetv2,oct2017,macro_precision,0.939,0.011,0.928,0.951,6
mobilenetv2,oct2017,macro_recall,0.947,0.006,0.94,0.953,6
mobilenetv2,oct2017,micro_f1,0.959,0.007,0.952,0.966,6
mobilenetv2,oct2017,weighted_f1,0.959,0.006,0.953,0.966,6
resnet18,ham10000,accuracy,0.527,0.25,0.265,0.789,6
resnet18,ham10000,avg_ce_loss,1.046,0.396,0.631,1.462,6
resnet18,ham10000,macro_f1,0.668,0.067,0.598,0.738,6
resnet18,ham10000,macro_precision,0.681,0.046,0.633,0.73,6
resnet18,ham10000,macro_recall,0.712,0.052,0.658,0.766,6
resnet18,ham10000,micro_f1,0.527,0.25,0.265,0.789,6
resnet18,ham10000,weighted_f1,0.552,0.228,0.313,0.792,6
resnet18,isic,accuracy,0.634,0.11,0.518,0.749,6
resnet18,isic,avg_ce_loss,1.107,0.387,0.701,1.514,6
resnet18,isic,macro_f1,0.593,0.092,0.496,0.689,6
resnet18,isic,macro_precision,0.635,0.084,0.547,0.724,6
resnet18,isic,macro_recall,0.604,0.068,0.533,0.675,6
resnet18,isic,micro_f1,0.634,0.11,0.518,0.749,6
resnet18,isic,weighted_f1,0.617,0.132,0.479,0.755,6
resnet18,oct2017,accuracy,0.98,0.02,0.96,1.001,6
resnet18,oct2017,avg_ce_loss,0.073,0.057,0.012,0.133,6
resnet18,oct2017,macro_f1,0.973,0.028,0.943,1.002,6
resnet18,oct2017,macro_precision,0.971,0.03,0.939,1.002,6
resnet18,oct2017,macro_recall,0.974,0.026,0.947,1.002,6
resnet18,oct2017,micro_f1,0.98,0.02,0.96,1.001,6
resnet18,oct2017,weighted_f1,0.98,0.02,0.96,1.001,6
unknown,unknown,accuracy,0.62,0.382,-0.328,1.568,3
unknown,unknown,avg_ce_loss,2.592,3.348,-5.725,10.908,3
unknown,unknown,macro_f1,0.736,0.232,0.16,1.312,3
unknown,unknown,macro_precision,0.744,0.22,0.196,1.292,3
unknown,unknown,macro_recall,0.768,0.205,0.258,1.278,3
unknown,unknown,micro_f1,0.62,0.382,-0.328,1.568,3
unknown,unknown,weighted_f1,0.613,0.383,-0.339,1.564,3
