epoch,train_loss,val_acc,alpha,tau,beta
0,11.944552310150868,0.03293413173652695,0.6,4.0,1500.0
1,9.735538134442097,,0.6,4.0,1500.0
2,9.480914712997093,0.03293413173652695,0.6,4.0,1500.0
3,9.352232801098149,,0.6,4.0,1500.0
4,9.276041276788495,0.03293413173652695,0.6,4.0,1500.0
5,9.214525567616286,,0.6,4.0,1500.0
6,9.172560756695624,0.03293413173652695,0.6,4.0,1500.0
7,9.135130457432119,,0.6,4.0,1500.0
8,9.107975325017794,0.03293413173652695,0.6,4.0,1500.0
9,9.086978227227453,,0.6,4.0,1500.0
10,9.066329703166458,0.03293413173652695,0.6,4.0,1500.0
11,9.038591220669062,,0.6,4.0,1500.0
12,9.015958127866478,0.03293413173652695,0.6,4.0,1500.0
13,8.990122564013811,,0.6,4.0,1500.0
14,8.983456698927355,0.03293413173652695,0.6,4.0,1500.0
15,8.97043864824631,,0.6,4.0,1500.0
16,8.952111393289323,0.03293413173652695,0.6,4.0,1500.0
17,8.932875624351624,,0.6,4.0,1500.0
18,8.920293599853212,0.03293413173652695,0.6,4.0,1500.0
19,8.896241222437883,,0.6,4.0,1500.0
20,8.885602991046353,0.03293413173652695,0.6,4.0,1500.0
21,8.860638305374565,,0.6,4.0,1500.0
22,8.850455699849972,0.03293413173652695,0.6,4.0,1500.0
23,8.831513152487016,,0.6,4.0,1500.0
24,8.826624906593457,0.03293413173652695,0.6,4.0,1500.0
25,8.827725995490306,,0.6,4.0,1500.0
26,8.792063390350258,0.03293413173652695,0.6,4.0,1500.0
27,8.787996961474486,,0.6,4.0,1500.0
28,8.760193723718585,0.03293413173652695,0.6,4.0,1500.0
29,8.782433122135249,0.03293413173652695,0.6,4.0,1500.0
