epoch,train_loss,val_acc,alpha,tau,beta
0,4.188418875616183,0.16964285714285715,0.6,4.0,1500.0
1,3.3143998176820815,,0.6,4.0,1500.0
2,2.8885800330869613,0.16964285714285715,0.6,4.0,1500.0
3,2.759328200740199,,0.6,4.0,1500.0
4,2.6490662248199692,0.35267857142857145,0.6,4.0,1500.0
5,2.601274871826172,,0.6,4.0,1500.0
6,2.549485106148732,0.3794642857142857,0.6,4.0,1500.0
7,2.502527870197154,,0.6,4.0,1500.0
8,2.4744968524345983,0.3705357142857143,0.6,4.0,1500.0
9,2.4048898571478228,,0.6,4.0,1500.0
10,2.3734667865573327,0.39285714285714285,0.6,4.0,1500.0
11,2.3188851739869225,,0.6,4.0,1500.0
12,2.2906707517562372,0.45982142857142855,0.6,4.0,1500.0
13,2.2617000485176484,,0.6,4.0,1500.0
14,2.218624721508168,0.47767857142857145,0.6,4.0,1500.0
15,2.207221439872723,,0.6,4.0,1500.0
16,2.1925027633127443,0.45089285714285715,0.6,4.0,1500.0
17,2.1612946515047815,,0.6,4.0,1500.0
18,2.1247415233782445,0.4732142857142857,0.6,4.0,1500.0
19,2.1192603560890215,,0.6,4.0,1500.0
20,2.1293693879697813,0.5,0.6,4.0,1500.0
21,2.098056015660686,,0.6,4.0,1500.0
22,2.0781708313868594,0.47767857142857145,0.6,4.0,1500.0
23,2.073004547478839,,0.6,4.0,1500.0
24,2.046096475307758,0.46875,0.6,4.0,1500.0
25,2.027316694046664,,0.6,4.0,1500.0
26,2.0098340203685146,0.48660714285714285,0.6,4.0,1500.0
27,2.0035625313410983,,0.6,4.0,1500.0
28,2.0098148801486486,0.45535714285714285,0.6,4.0,1500.0
29,1.9869144165190515,0.5267857142857143,0.6,4.0,1500.0
