epoch,train_loss,val_acc,alpha,tau,beta
0,2.734460413641892,0.4442467378410439,0.6,4.0,1500.0
1,2.291044694468864,,0.6,4.0,1500.0
2,2.19302948855918,0.444642151047845,0.6,4.0,1500.0
3,2.150169130683307,,0.6,4.0,1500.0
4,2.1173942725848325,0.44365361803084225,0.6,4.0,1500.0
5,2.093945941084545,,0.6,4.0,1500.0
6,2.076699400287506,0.44365361803084225,0.6,4.0,1500.0
7,2.0633339362971777,,0.6,4.0,1500.0
8,2.051926165566462,0.44365361803084225,0.6,4.0,1500.0
9,2.0460346690024944,,0.6,4.0,1500.0
10,2.0420172788112088,0.44365361803084225,0.6,4.0,1500.0
11,2.031726101319341,,0.6,4.0,1500.0
12,2.024784782472182,0.44365361803084225,0.6,4.0,1500.0
13,2.0182928404014677,,0.6,4.0,1500.0
14,2.0161275685365125,0.44365361803084225,0.6,4.0,1500.0
15,2.0093666637809564,,0.6,4.0,1500.0
16,2.006143210574354,0.44365361803084225,0.6,4.0,1500.0
17,2.004601746220134,,0.6,4.0,1500.0
18,2.0010826428982678,0.44365361803084225,0.6,4.0,1500.0
19,1.996347261477604,,0.6,4.0,1500.0
20,1.9922876743926539,0.44365361803084225,0.6,4.0,1500.0
21,1.9872820829340614,,0.6,4.0,1500.0
22,1.9851087978333373,0.44365361803084225,0.6,4.0,1500.0
23,1.9846682035254184,,0.6,4.0,1500.0
24,1.9798858211516162,0.44365361803084225,0.6,4.0,1500.0
25,1.9761847105571357,,0.6,4.0,1500.0
26,1.9753185440872723,0.44365361803084225,0.6,4.0,1500.0
27,1.9731829679733495,,0.6,4.0,1500.0
28,1.9698972152828789,0.44365361803084225,0.6,4.0,1500.0
29,1.9687349378504866,0.44365361803084225,0.6,4.0,1500.0
