epoch,train_loss,val_acc,alpha,tau,beta
0,2.3866269681848644,0.6017964071856288,0.8,2.0,0.0
1,1.920790018165573,,0.8,2.0,0.0
2,1.8423623074758309,0.6237524950099801,0.8,2.0,0.0
3,1.8040285440868402,,0.8,2.0,0.0
4,1.7793017600281817,0.6586826347305389,0.8,2.0,0.0
5,1.7553992110590657,,0.8,2.0,0.0
6,1.7366364295324184,0.6676646706586826,0.8,2.0,0.0
7,1.722473967198353,,0.8,2.0,0.0
8,1.7089494177785391,0.6666666666666666,0.8,2.0,0.0
9,1.7027901759835944,,0.8,2.0,0.0
10,1.6830557028461373,0.6906187624750499,0.8,2.0,0.0
11,1.6580568119382588,,0.8,2.0,0.0
12,1.648813477343385,0.7105788423153693,0.8,2.0,0.0
13,1.6296191406503946,,0.8,2.0,0.0
14,1.6289702191094135,0.6846307385229541,0.8,2.0,0.0
15,1.6140800562786313,,0.8,2.0,0.0
16,1.601798512781419,0.7455089820359282,0.8,2.0,0.0
17,1.5908095558092012,,0.8,2.0,0.0
18,1.5850932441381507,0.7115768463073853,0.8,2.0,0.0
19,1.5750154125747333,,0.8,2.0,0.0
20,1.5668613065774415,0.6936127744510978,0.8,2.0,0.0
21,1.5510871632043866,,0.8,2.0,0.0
22,1.554540283682872,0.6776447105788423,0.8,2.0,0.0
23,1.543058733200506,,0.8,2.0,0.0
24,1.5375695860532708,0.7405189620758483,0.8,2.0,0.0
25,1.5355678646648867,,0.8,2.0,0.0
26,1.51348876504751,0.7125748502994012,0.8,2.0,0.0
27,1.5188730876691516,,0.8,2.0,0.0
28,1.501311851806941,0.7215568862275449,0.8,2.0,0.0
29,1.5106610161978014,0.7155688622754491,0.8,2.0,0.0
