epoch,train_loss,val_acc,alpha,tau,beta
0,2.5344161028897494,0.16964285714285715,0.8,2.0,0.0
1,2.3405469537077117,,0.8,2.0,0.0
2,2.152068753396311,0.16964285714285715,0.8,2.0,0.0
3,2.083863854704069,,0.8,2.0,0.0
4,2.014604777852004,0.3080357142857143,0.8,2.0,0.0
5,1.9655557171582585,,0.8,2.0,0.0
6,1.9241613716404729,0.4017857142857143,0.8,2.0,0.0
7,1.8685114793682809,,0.8,2.0,0.0
8,1.8420590774592926,0.4419642857142857,0.8,2.0,0.0
9,1.795772107126695,,0.8,2.0,0.0
10,1.7786859554333367,0.47767857142857145,0.8,2.0,0.0
11,1.7366134719280688,,0.8,2.0,0.0
12,1.7161753705358387,0.5044642857142857,0.8,2.0,0.0
13,1.682815908498267,,0.8,2.0,0.0
14,1.6564716981007503,0.4955357142857143,0.8,2.0,0.0
15,1.6357465604398742,,0.8,2.0,0.0
16,1.6091999301247797,0.47767857142857145,0.8,2.0,0.0
17,1.5939436651636885,,0.8,2.0,0.0
18,1.5756231242314758,0.5133928571428571,0.8,2.0,0.0
19,1.5504319261972128,,0.8,2.0,0.0
20,1.5423150719247445,0.5535714285714286,0.8,2.0,0.0
21,1.5295863378728294,,0.8,2.0,0.0
22,1.5315485746038167,0.5223214285714286,0.8,2.0,0.0
23,1.5020219452623693,,0.8,2.0,0.0
24,1.4845529545033835,0.5446428571428571,0.8,2.0,0.0
25,1.4631751740245014,,0.8,2.0,0.0
26,1.4493458469215752,0.5357142857142857,0.8,2.0,0.0
27,1.4468112020279575,,0.8,2.0,0.0
28,1.4392391026759561,0.5133928571428571,0.8,2.0,0.0
29,1.4333258770239856,0.5714285714285714,0.8,2.0,0.0
