epoch,train_loss,val_acc,alpha,tau,beta
0,0.6057509386761003,0.9328823215239451,0.8,2.0,0.0
1,0.3995239405197888,,0.8,2.0,0.0
2,0.3661786965298153,0.9499732953533915,0.8,2.0,0.0
3,0.3488249000163359,,0.8,2.0,0.0
4,0.33682073437682064,0.9544834134472732,0.8,2.0,0.0
5,0.33048492481747177,,0.8,2.0,0.0
6,0.32346702158073987,0.9585187822681146,0.8,2.0,0.0
7,0.31540559021886416,,0.8,2.0,0.0
8,0.3124080893455074,0.9561450359029138,0.8,2.0,0.0
9,0.3095568743676902,,0.8,2.0,0.0
10,0.30559531746055824,0.9589935315411549,0.8,2.0,0.0
11,0.30131476562029763,,0.8,2.0,0.0
12,0.2981072129351011,0.9617826835202659,0.8,2.0,0.0
13,0.29345697475874927,,0.8,2.0,0.0
14,0.2942680416499828,0.962257432793306,0.8,2.0,0.0
15,0.2935798034619889,,0.8,2.0,0.0
16,0.2874373021899782,0.9643938045219869,0.8,2.0,0.0
17,0.28709135877845693,,0.8,2.0,0.0
18,0.2869335281184277,0.9652839594089372,0.8,2.0,0.0
19,0.2827364245343463,,0.8,2.0,0.0
20,0.2806167865091748,0.9653433030680671,0.8,2.0,0.0
21,0.28189058198953343,,0.8,2.0,0.0
22,0.27808708754769895,0.967657705774138,0.8,2.0,0.0
23,0.2769795367419838,,0.8,2.0,0.0
24,0.2757586587908335,0.9655213340454573,0.8,2.0,0.0
25,0.2748577879888354,,0.8,2.0,0.0
26,0.2711612500530215,0.9682511423654383,0.8,2.0,0.0
27,0.2705755972046775,,0.8,2.0,0.0
28,0.2728977313339592,0.9681917987063082,0.8,2.0,0.0
29,0.27009018438519483,0.9684291733428283,0.8,2.0,0.0
