epoch,train_loss,val_acc,val_loss,secs,alpha,tau,beta
0,1.8375515037866956,0.8507506972879948,0.6589319322959697,301.28531861305237,0.6,6.0,250.0
1,1.4642096010108576,,,188.37495398521423,0.6,6.0,250.0
2,1.3940993321182324,0.9147825054892885,0.5228212690588261,244.04015803337097,0.6,6.0,250.0
3,1.3539926113748606,,,187.96746301651,0.6,6.0,250.0
4,1.329004689750581,0.9339505073882856,0.47792424199758143,245.9779953956604,0.6,6.0,250.0
5,1.3105877174318614,,,187.9804835319519,0.6,6.0,250.0
6,1.297756583778318,0.9410124028247582,0.4617433738697177,244.13854956626892,0.6,6.0,250.0
7,1.2876434119429312,,,187.97663474082947,0.6,6.0,250.0
8,1.2789437376590245,0.9455225209186399,0.4443805850328207,244.41734170913696,0.6,6.0,250.0
9,1.2714622242170721,,,187.76652431488037,0.6,6.0,250.0
10,1.2667437942568234,0.9491424841255712,0.43775729398459723,244.19013094902039,0.6,6.0,250.0
11,1.2605478989837573,,,187.87910795211792,0.6,6.0,250.0
12,1.2569810014885374,0.9502700136490416,0.429313018791584,244.03110337257385,0.6,6.0,250.0
13,1.2523295508867764,,,187.95509505271912,0.6,6.0,250.0
14,1.2489518484611104,0.9528217909916326,0.42882984078296194,243.9239203929901,0.6,6.0,250.0
15,1.2455297066789222,,,187.91487288475037,0.6,6.0,250.0
16,1.242151503913626,0.9529998219690227,0.4214901861030407,244.0397434234619,0.6,6.0,250.0
17,1.239781687296441,,,187.94279217720032,0.6,6.0,250.0
18,1.2375529198742705,0.9547207880837932,0.42065966486555906,244.16460585594177,0.6,6.0,250.0
19,1.2344110768036487,,,187.90994024276733,0.6,6.0,250.0
20,1.2328909415225824,0.9549581627203133,0.4132391018624419,243.48746943473816,0.6,6.0,250.0
21,1.2304391080374395,,,187.92551159858704,0.6,6.0,250.0
22,1.22898598017076,0.9561450359029138,0.41279069756649417,243.82358932495117,0.6,6.0,250.0
23,1.2267365238137657,,,187.8748905658722,0.6,6.0,250.0
24,1.2252194923579622,0.956797816153344,0.41235631977045306,243.5578064918518,0.6,6.0,250.0
25,1.2247885243889842,,,187.82139229774475,0.6,6.0,250.0
26,1.2227467850858207,0.9572132217672542,0.41387605115317655,243.83653450012207,0.6,6.0,250.0
27,1.2208208594033727,,,187.9327573776245,0.6,6.0,250.0
28,1.219922558749415,0.9581627203133345,0.4148964476963157,243.69389629364014,0.6,6.0,250.0
29,1.2175160725062995,0.9579846893359445,0.40555310488440477,243.82814526557922,0.6,6.0,250.0
