epoch,train_loss,val_acc,alpha,tau,beta
0,2.289337217433293,0.8412415974693555,0.6,6.0,250.0
1,1.8738098409545532,,0.6,6.0,250.0
2,1.7890276630976136,0.9011466982997232,0.6,6.0,250.0
3,1.740054937606484,,0.6,6.0,250.0
4,1.7090136651115841,0.9215104784499802,0.6,6.0,250.0
5,1.6843259311938483,,0.6,6.0,250.0
6,1.6658572416869928,0.9284302095689996,0.6,6.0,250.0
7,1.6525144015311315,,0.6,6.0,250.0
8,1.6408126147391167,0.9333728746540134,0.6,6.0,250.0
9,1.6307735700587607,,0.6,6.0,250.0
10,1.6217228447289527,0.9365361803084223,0.6,6.0,250.0
11,1.6127726397454218,,0.6,6.0,250.0
12,1.6082869554193424,0.9414788453934362,0.6,6.0,250.0
13,1.6028939431656706,,0.6,6.0,250.0
14,1.595841063597747,0.9418742586002372,0.6,6.0,250.0
15,1.5907213371293698,,0.6,6.0,250.0
16,1.5873363457771048,0.9452352708580467,0.6,6.0,250.0
17,1.5832216907462002,,0.6,6.0,250.0
18,1.5791283332004231,0.9438513246342428,0.6,6.0,250.0
19,1.5751993377631581,,0.6,6.0,250.0
20,1.5726286519427988,0.9474100434954528,0.6,6.0,250.0
21,1.569099733633723,,0.6,6.0,250.0
22,1.5640120977551146,0.9474100434954528,0.6,6.0,250.0
23,1.563602338560614,,0.6,6.0,250.0
24,1.5591465255915713,0.9485962831158561,0.6,6.0,250.0
25,1.5575840256135685,,0.6,6.0,250.0
26,1.5559626177426649,0.9493871095294583,0.6,6.0,250.0
27,1.553183988807103,,0.6,6.0,250.0
28,1.5508649203873788,0.9511664689600633,0.6,6.0,250.0
29,1.5496258808457104,0.9527481217872676,0.6,6.0,250.0
