epoch,train_loss,val_acc,val_loss,secs,alpha,tau,beta
0,16.998168829830348,0.3080357142857143,1.8500124386378698,19.48524236679077,0.6,4.0,1500.0
1,11.772421179456687,,,16.10295534133911,0.6,4.0,1500.0
2,10.561261529662177,0.6651785714285714,1.2095609051840646,19.529216527938843,0.6,4.0,1500.0
3,9.997488954226965,,,17.624897480010986,0.6,4.0,1500.0
4,9.568900723137867,0.7142857142857143,0.9688714231763568,20.831467628479004,0.6,4.0,1500.0
5,9.245238669516135,,,17.025227785110474,0.6,4.0,1500.0
6,9.023108657003927,0.7366071428571429,0.8905819143567767,19.655408143997192,0.6,4.0,1500.0
7,8.885803854968353,,,15.373741149902344,0.6,4.0,1500.0
8,8.68393145246482,0.7455357142857143,0.8128150190625872,19.36039924621582,0.6,4.0,1500.0
9,8.517433938435822,,,16.226295232772827,0.6,4.0,1500.0
10,8.457761413347042,0.7455357142857143,0.808211190359933,19.242830514907837,0.6,4.0,1500.0
11,8.307638479758138,,,16.360785722732544,0.6,4.0,1500.0
12,8.225383872133923,0.7276785714285714,0.8089872428349086,19.742172241210938,0.6,4.0,1500.0
13,8.115489825303147,,,16.69387674331665,0.6,4.0,1500.0
14,8.081821262747715,0.7098214285714286,0.824582712990897,20.82954454421997,0.6,4.0,1500.0
15,7.999988854552617,,,16.1376473903656,0.6,4.0,1500.0
16,7.908178545760162,0.7589285714285714,0.7895009858267648,19.142804622650146,0.6,4.0,1500.0
17,7.813789068794724,,,16.697165727615356,0.6,4.0,1500.0
18,7.778114437642819,0.7723214285714286,0.7310956546238491,20.33298349380493,0.6,4.0,1500.0
19,7.681940774704623,,,16.408313751220703,0.6,4.0,1500.0
20,7.599635144557905,0.75,0.7460979393550328,20.45673394203186,0.6,4.0,1500.0
21,7.556427451339608,,,16.5468692779541,0.6,4.0,1500.0
22,7.545170249654992,0.7455357142857143,0.7372685159955706,20.212909936904907,0.6,4.0,1500.0
23,7.420403623935898,,,16.009779930114746,0.6,4.0,1500.0
24,7.429411401346363,0.7455357142857143,0.7236056327819824,20.350484609603882,0.6,4.0,1500.0
25,7.361495753020861,,,16.10506772994995,0.6,4.0,1500.0
26,7.300938819714871,0.7410714285714286,0.7513805798121861,19.63830280303955,0.6,4.0,1500.0
27,7.246277076257369,,,16.1490957736969,0.6,4.0,1500.0
28,7.225523116156718,0.7321428571428571,0.7345593316214425,19.966371774673462,0.6,4.0,1500.0
29,7.169172751518988,0.7455357142857143,0.7457921504974365,19.617311239242554,0.6,4.0,1500.0
