epoch,train_loss,val_acc,val_loss,secs,alpha,tau,beta
0,1.6302554811458614,0.7522477522477522,0.7798047823148531,272.5172049999237,0.8,2.0,0.0
1,1.2486533074168098,,,236.7418613433838,0.8,2.0,0.0
2,1.1301480669778017,,,236.72727298736572,0.8,2.0,0.0
3,1.043763792395762,0.8361638361638362,0.5776475035584533,240.03507280349731,0.8,2.0,0.0
4,0.9887569046904799,,,236.74008774757385,0.8,2.0,0.0
5,0.9463294499270756,,,236.81869912147522,0.8,2.0,0.0
6,0.9121472470600492,0.8371628371628371,0.6093304088184764,239.9118766784668,0.8,2.0,0.0
7,0.8893245219674158,,,236.80596375465393,0.8,2.0,0.0
8,0.8721747036497195,,,236.77959275245667,0.8,2.0,0.0
9,0.850045250145753,0.8611388611388612,0.5772415145889267,239.93501806259155,0.8,2.0,0.0
10,0.8235343268526434,,,236.74617528915405,0.8,2.0,0.0
11,0.8153493585668175,,,236.7226026058197,0.8,2.0,0.0
12,0.8059950781276665,0.8441558441558441,0.5660593793108747,243.64683938026428,0.8,2.0,0.0
13,0.7945011762001375,,,263.9271080493927,0.8,2.0,0.0
14,0.7898630537762281,,,287.1737742424011,0.8,2.0,0.0
15,0.7817850095909434,0.8621378621378621,0.5781132472264064,281.10038113594055,0.8,2.0,0.0
16,0.7715106354630452,,,266.35096073150635,0.8,2.0,0.0
17,0.7692079853399334,,,277.1238944530487,0.8,2.0,0.0
18,0.7600043562441512,0.8651348651348651,0.5642438577962565,288.32502460479736,0.8,2.0,0.0
19,0.7570112566464978,,,287.48838114738464,0.8,2.0,0.0
20,0.7602047141540408,,,287.1906747817993,0.8,2.0,0.0
21,0.7482376372593106,0.8661338661338661,0.5462265853043441,290.2065143585205,0.8,2.0,0.0
22,0.7497236199793904,,,286.5121762752533,0.8,2.0,0.0
23,0.7426021971818214,,,286.5187349319458,0.8,2.0,0.0
24,0.7430197108999299,0.8491508491508492,0.5457685624921953,289.06250858306885,0.8,2.0,0.0
25,0.7383237496932461,,,284.1747009754181,0.8,2.0,0.0
26,0.7338757855405821,,,288.78818559646606,0.8,2.0,0.0
27,0.733480321646757,0.8621378621378621,0.5618950827614768,293.65864157676697,0.8,2.0,0.0
28,0.7279470073003401,,,287.1263048648834,0.8,2.0,0.0
29,0.7298147995359717,0.8701298701298701,0.5305592463566706,289.98022532463074,0.8,2.0,0.0
