epoch,train_loss,val_acc,val_loss,secs,alpha,tau,beta
0,1.9887596629689408,0.5044642857142857,1.6221191542489188,18.315263271331787,0.8,2.0,0.0
1,1.4190819101357282,,,15.129432916641235,0.8,2.0,0.0
2,1.0677540564951176,0.6875,0.9192170075007847,18.47777032852173,0.8,2.0,0.0
3,0.9184852340972749,,,15.864112615585327,0.8,2.0,0.0
4,0.8112144894102963,0.7366071428571429,0.811497688293457,18.632035493850708,0.8,2.0,0.0
5,0.7401570240557933,,,14.892301797866821,0.8,2.0,0.0
6,0.6819101969598245,0.7589285714285714,0.7649945531572614,23.251584768295288,0.8,2.0,0.0
7,0.6275159083584106,,,18.944521188735962,0.8,2.0,0.0
8,0.5947506199995283,0.78125,0.7346680845533099,18.207353115081787,0.8,2.0,0.0
9,0.5611492987010378,,,15.48805832862854,0.8,2.0,0.0
10,0.5292395002788705,0.7544642857142857,0.7137488978249686,18.785943269729614,0.8,2.0,0.0
11,0.49206711642499595,,,15.611895084381104,0.8,2.0,0.0
12,0.46609977803218455,0.7946428571428571,0.6892904554094587,18.65216588973999,0.8,2.0,0.0
13,0.4505743525164299,,,15.324791669845581,0.8,2.0,0.0
14,0.43160972071640546,0.7455357142857143,0.6981538363865444,18.112611293792725,0.8,2.0,0.0
15,0.41680570240352055,,,15.430256843566895,0.8,2.0,0.0
16,0.40499289068335637,0.7723214285714286,0.6862793649945941,18.775268077850342,0.8,2.0,0.0
17,0.37497412430737215,,,15.785764932632446,0.8,2.0,0.0
18,0.37246262763924987,0.7455357142857143,0.7004172461373466,18.382066011428833,0.8,2.0,0.0
19,0.3688018506868897,,,15.750221967697144,0.8,2.0,0.0
20,0.35181993849520055,0.7232142857142857,0.7117219652448382,18.60748267173767,0.8,2.0,0.0
21,0.3405636438365018,,,15.869310855865479,0.8,2.0,0.0
22,0.33387769960588026,0.7410714285714286,0.708827018737793,18.70001459121704,0.8,2.0,0.0
23,0.3284614021517799,,,15.575565099716187,0.8,2.0,0.0
24,0.3186711190652019,0.7410714285714286,0.7104934624263218,19.0723717212677,0.8,2.0,0.0
25,0.311573429675611,,,15.918045043945312,0.8,2.0,0.0
26,0.31170990922610753,0.7455357142857143,0.7194381100790841,19.016640663146973,0.8,2.0,0.0
27,0.3039655425708288,,,16.557461500167847,0.8,2.0,0.0
28,0.3086416102372683,0.7410714285714286,0.7062030860355922,19.38995122909546,0.8,2.0,0.0
29,0.3035414305721264,0.7321428571428571,0.7125424998147147,19.752623319625854,0.8,2.0,0.0
