epoch,train_loss,val_acc,val_loss,secs,alpha,tau,beta
0,0.4713627263744531,0.940537653551718,0.1717915289211426,254.15209364891052,0.8,2.0,0.0
1,0.3522779463661099,,,183.05320167541504,0.8,2.0,0.0
2,0.331368484375457,0.9566197851759539,0.13385891707797665,263.1351330280304,0.8,2.0,0.0
3,0.3157757792396478,,,185.8505392074585,0.8,2.0,0.0
4,0.3102900013239217,0.9600617174054952,0.1252084423169829,245.77002048492432,0.8,2.0,0.0
5,0.30606661841255633,,,183.34679436683655,0.8,2.0,0.0
6,0.2984140968690422,0.9601210610646252,0.12765603852932775,241.87633061408997,0.8,2.0,0.0
7,0.2926080823510284,,,185.93692636489868,0.8,2.0,0.0
8,0.29047406304490664,0.959349593495935,0.1313865456154676,251.928320646286,0.8,2.0,0.0
9,0.2851469500067678,,,186.7320899963379,0.8,2.0,0.0
10,0.2827327066186201,0.9656400213637173,0.11027089877126055,246.1130392551422,0.8,2.0,0.0
11,0.2791327742070914,,,186.08049201965332,0.8,2.0,0.0
12,0.2759581189633547,0.9656400213637173,0.11141342560294601,243.5825378894806,0.8,2.0,0.0
13,0.27486248679573994,,,183.31723046302795,0.8,2.0,0.0
14,0.27244529391805755,0.9626134947480862,0.11372232001709673,248.38633728027344,0.8,2.0,0.0
15,0.26886558997956317,,,198.49449062347412,0.8,2.0,0.0
16,0.268255015893056,0.9667082072280577,0.1055875966778269,259.94630193710327,0.8,2.0,0.0
17,0.26434056948371065,,,190.2106990814209,0.8,2.0,0.0
18,0.26289105489584896,0.9670049255237078,0.10763369181496998,253.538907289505,0.8,2.0,0.0
19,0.26065549858948517,,,185.71743154525757,0.8,2.0,0.0
20,0.26091928154689703,0.9655213340454573,0.11234480220057137,265.1017141342163,0.8,2.0,0.0
21,0.2584479370151126,,,188.59524703025818,0.8,2.0,0.0
22,0.2581003801749129,0.9617826835202659,0.12260693993301577,244.40000200271606,0.8,2.0,0.0
23,0.25788629364005755,,,197.66358613967896,0.8,2.0,0.0
24,0.25430403703543075,0.9631475876802563,0.11585216454727827,251.19631218910217,0.8,2.0,0.0
25,0.25440252651311324,,,186.55475068092346,0.8,2.0,0.0
26,0.252039099906263,0.9678357367515281,0.10923005365758018,249.67546796798706,0.8,2.0,0.0
27,0.2491264057541233,,,184.77970957756042,0.8,2.0,0.0
28,0.2498618128885154,0.9681917987063082,0.10774620831751992,255.36292457580566,0.8,2.0,0.0
29,0.2495339754071807,0.9657587086819773,0.11439333517511381,260.1785969734192,0.8,2.0,0.0
