epoch,train_loss,val_acc,val_loss,secs,alpha,tau,beta
0,5.920142429667431,0.23876123876123875,1.9199623161262565,428.04310631752014,0.6,6.0,250.0
1,4.440733685541085,,,236.7728865146637,0.6,6.0,250.0
2,4.078598426922242,,,236.53591799736023,0.6,6.0,250.0
3,3.893175092335264,0.31868131868131866,1.4758677449259725,240.18860149383545,0.6,6.0,250.0
4,3.782900891188378,,,237.43993306159973,0.6,6.0,250.0
5,3.6885501054826375,,,236.86853766441345,0.6,6.0,250.0
6,3.620023963318742,0.3046953046953047,1.2950526951076267,240.435640335083,0.6,6.0,250.0
7,3.571601256494345,,,236.95383596420288,0.6,6.0,250.0
8,3.522849195183769,,,236.90343022346497,0.6,6.0,250.0
9,3.483770066627252,0.33766233766233766,1.3271539175546134,240.51705861091614,0.6,6.0,250.0
10,3.4653826520378344,,,236.91589784622192,0.6,6.0,250.0
11,3.458716356329163,,,236.95114254951477,0.6,6.0,250.0
12,3.424161482401479,0.33466533466533466,1.6118387913965917,240.46493339538574,0.6,6.0,250.0
13,3.380008621460701,,,236.95226764678955,0.6,6.0,250.0
14,3.3506237435442916,,,236.89290595054626,0.6,6.0,250.0
15,3.3385989729245957,0.33666333666333664,1.4375624070753465,240.71735382080078,0.6,6.0,250.0
16,3.3383034258528204,,,236.93253660202026,0.6,6.0,250.0
17,3.313328838892568,,,236.88528537750244,0.6,6.0,250.0
18,3.305807444712575,0.36363636363636365,1.4528154340776411,240.4020493030548,0.6,6.0,250.0
19,3.286977487828014,,,236.87898874282837,0.6,6.0,250.0
20,3.2749432773290788,,,236.9061667919159,0.6,6.0,250.0
21,3.2644742779316815,0.32367632367632365,1.4504591020551714,240.45441269874573,0.6,6.0,250.0
22,3.269814334548319,,,236.96141648292542,0.6,6.0,250.0
23,3.250278819134504,,,236.8658435344696,0.6,6.0,250.0
24,3.239045475621026,0.32967032967032966,1.3576654897226796,240.3816316127777,0.6,6.0,250.0
25,3.2347473276494743,,,236.9334762096405,0.6,6.0,250.0
26,3.227773131045397,,,236.9522635936737,0.6,6.0,250.0
27,3.218549024905696,0.33666333666333664,1.649505333228783,240.31625413894653,0.6,6.0,250.0
28,3.197968292372373,,,236.93702363967896,0.6,6.0,250.0
29,3.193452358041782,0.37362637362637363,1.288953813520464,240.3946681022644,0.6,6.0,250.0
