epoch,train_loss,val_acc,val_loss,secs,alpha,tau,beta
0,4.512919873221045,0.46875,1.6338815007890974,53.90341281890869,0.6,6.0,250.0
1,3.382310342315409,,,16.692874431610107,0.6,6.0,250.0
2,2.940357347871766,0.7008928571428571,1.0112604754311698,20.333866834640503,0.6,6.0,250.0
3,2.695471142066028,,,17.35643172264099,0.6,6.0,250.0
4,2.5559349419757096,0.7366071428571429,0.8737302507672992,20.223896026611328,0.6,6.0,250.0
5,2.4350865115598768,,,16.718647480010986,0.6,6.0,250.0
6,2.3519552720687527,0.7544642857142857,0.8207963875361851,19.627479791641235,0.6,6.0,250.0
7,2.2766216883884174,,,16.882440328598022,0.6,6.0,250.0
8,2.2330242175913924,0.7410714285714286,0.7888085501534599,19.383158922195435,0.6,6.0,250.0
9,2.1719521236183033,,,16.76709794998169,0.6,6.0,250.0
10,2.1310462631007874,0.7589285714285714,0.7413824966975621,20.33825922012329,0.6,6.0,250.0
11,2.08715949579149,,,16.812009811401367,0.6,6.0,250.0
12,2.0347291108692254,0.7678571428571429,0.7302713394165039,20.223722219467163,0.6,6.0,250.0
13,2.0103041384415357,,,17.083503484725952,0.6,6.0,250.0
14,1.9785105395257916,0.7142857142857143,0.7379308087485177,19.728267908096313,0.6,6.0,250.0
15,1.9589031921131144,,,16.37390422821045,0.6,6.0,250.0
16,1.9284569727280003,0.7589285714285714,0.7115964889526367,20.14467144012451,0.6,6.0,250.0
17,1.8906282340918226,,,16.513925790786743,0.6,6.0,250.0
18,1.8873865469513698,0.7633928571428571,0.6856451375143868,19.717187643051147,0.6,6.0,250.0
19,1.8645917063019708,,,16.483961582183838,0.6,6.0,250.0
20,1.83625886623676,0.7321428571428571,0.7184219360351562,20.137655019760132,0.6,6.0,250.0
21,1.8352802651691673,,,16.514898538589478,0.6,6.0,250.0
22,1.8035830862173077,0.7366071428571429,0.7099074976784843,20.259339570999146,0.6,6.0,250.0
23,1.783728524177305,,,16.811479330062866,0.6,6.0,250.0
24,1.7646239553432606,0.7366071428571429,0.6960182871137347,20.585596323013306,0.6,6.0,250.0
25,1.7554833376082237,,,17.09861993789673,0.6,6.0,250.0
26,1.7489154077936935,0.7321428571428571,0.7070297173091343,20.179926872253418,0.6,6.0,250.0
27,1.7261844106110982,,,17.01010775566101,0.6,6.0,250.0
28,1.7119013171042166,0.7366071428571429,0.7226309435708183,19.834521293640137,0.6,6.0,250.0
29,1.7110786348063656,0.7455357142857143,0.7011800152914864,20.5802481174469,0.6,6.0,250.0
