epoch,train_loss,val_acc,val_loss,secs,alpha,tau,beta
0,1.7421115070780546,0.9410496046010065,0.16777832722195385,342.3145635128021,0.6,4.0,1500.0
1,1.077765156791273,0.9488377665947759,0.15765955846371937,346.713826417923,0.6,4.0,1500.0
2,0.9414648269425976,0.9495566738557393,0.150542132579649,346.8751037120819,0.6,4.0,1500.0
3,0.8556394817989753,0.9457225017972681,0.172418193882271,347.18494153022766,0.6,4.0,1500.0
4,0.8183673905515255,0.9541097531751738,0.14280382510057718,346.6583089828491,0.6,4.0,1500.0
5,0.7694136408418707,0.953750299544692,0.14704498365117924,347.0660889148712,0.6,4.0,1500.0
6,0.7348028068904973,0.9502755811167026,0.1628468945218938,347.031720161438,0.6,4.0,1500.0
7,0.7138118237378374,0.9545890246824826,0.13637389922182022,345.86647367477417,0.6,4.0,1500.0
8,0.6931469285931408,0.9536304816678648,0.14526497562840607,346.9599623680115,0.6,4.0,1500.0
9,0.6799534991740127,0.9561466570812365,0.14104324582095573,346.54227089881897,0.6,4.0,1500.0
10,0.6629309940764596,0.9478792235801582,0.16474828307588066,346.53693652153015,0.6,4.0,1500.0
11,0.6465332125477663,0.9574646537263359,0.1442990685120607,346.67487239837646,0.6,4.0,1500.0
12,0.6332914764428209,0.9521926671459382,0.1520694183440566,346.42543840408325,0.6,4.0,1500.0
13,0.6236270718636843,0.9556673855739276,0.14065621216577676,346.3483352661133,0.6,4.0,1500.0
14,0.6157266630357631,0.9579439252336449,0.14674681150853247,345.6502969264984,0.6,4.0,1500.0
15,0.6059623611227521,0.9571052000958543,0.13476689550878332,347.6006121635437,0.6,4.0,1500.0
16,0.5945845155358781,0.950515216870357,0.1590809086487215,346.63055181503296,0.6,4.0,1500.0
17,0.5888877576437436,0.9587826503714354,0.13634424402563514,346.37217807769775,0.6,4.0,1500.0
18,0.5857310607256325,0.9589024682482626,0.14219501998080014,345.5500900745392,0.6,4.0,1500.0
19,0.5755702270388099,0.9593817397555715,0.13495012552881594,345.53540301322937,0.6,4.0,1500.0
20,0.5712804796596138,0.9579439252336449,0.13976866496057783,345.3128023147583,0.6,4.0,1500.0
21,0.5702732791315266,0.9575844716031632,0.13773744518511763,346.801961183548,0.6,4.0,1500.0
22,0.5601470507680378,0.956386292834891,0.14518854564081243,346.28703784942627,0.6,4.0,1500.0
23,0.5548563258861594,0.9586628324946082,0.13782377380734007,346.2056567668915,0.6,4.0,1500.0
24,0.5509924425436946,0.9574646537263359,0.1326939602592938,346.5143449306488,0.6,4.0,1500.0
25,0.544609678470951,0.9608195542774982,0.1323504751030844,345.5358188152313,0.6,4.0,1500.0
26,0.5415546853140807,0.9547088425593099,0.15106807782328333,347.8344027996063,0.6,4.0,1500.0
27,0.5382200160898892,0.9572250179726816,0.14791075868512868,348.8598327636719,0.6,4.0,1500.0
28,0.5379637386557133,0.9591421040019171,0.12800388911945654,348.99166083335876,0.6,4.0,1500.0
29,0.5304070522020539,0.9579439252336449,0.13967497554323582,347.7210626602173,0.6,4.0,1500.0
