epoch,train_loss,val_acc,val_loss,secs,alpha,tau,beta
0,0.4103732820917678,0.9458423196740954,0.15519665603354313,337.89073395729065,0.8,2.0,0.0
1,0.323118657407573,0.9533908459142104,0.1381578872865434,332.9014413356781,0.8,2.0,0.0
2,0.310339840128175,0.9448837766594776,0.17140991371254427,332.18195605278015,0.8,2.0,0.0
3,0.2972589721252972,0.9574646537263359,0.12239392944128429,332.3856728076935,0.8,2.0,0.0
4,0.2906259823976343,0.9605799185238437,0.11916096448869748,333.1808023452759,0.8,2.0,0.0
5,0.2837577935619279,0.9621375509225977,0.11005200034289973,333.7354609966278,0.8,2.0,0.0
6,0.27990021519431346,0.9595015576323987,0.12635465498711032,332.7238657474518,0.8,2.0,0.0
7,0.278092833338142,0.9592619218787443,0.12696510299829564,334.51774048805237,0.8,2.0,0.0
8,0.2733127979192866,0.9630960939372154,0.10510235227485541,329.494601726532,0.8,2.0,0.0
9,0.2699614289091286,0.960699736400671,0.12052877260545675,333.66707038879395,0.8,2.0,0.0
10,0.2673883554355988,0.9634555475676971,0.10694261448377046,357.53440618515015,0.8,2.0,0.0
11,0.26662579940586323,0.9572250179726816,0.13360767296798617,338.26740860939026,0.8,2.0,0.0
12,0.26234782907090776,0.9592619218787443,0.1263284625879672,345.90380859375,0.8,2.0,0.0
13,0.26043491462652285,0.9642942727054876,0.10999063612915988,339.25127124786377,0.8,2.0,0.0
14,0.2584109799899477,0.9611790079079798,0.1265049161540785,329.4304041862488,0.8,2.0,0.0
15,0.25624251040262686,0.9615384615384616,0.12721438704135749,323.43141984939575,0.8,2.0,0.0
16,0.2543281633128738,0.9676491732566499,0.1023555139672005,333.0648980140686,0.8,2.0,0.0
17,0.25503275402745224,0.9669302659956865,0.10890171125356225,334.0476338863373,0.8,2.0,0.0
18,0.25234356426971205,0.9636951833213515,0.11165529259554408,334.36857748031616,0.8,2.0,0.0
19,0.2518368485147221,0.9658519051042416,0.10671632701391343,332.6967206001282,0.8,2.0,0.0
20,0.2507994204149574,0.9672897196261683,0.10518001673777498,332.1830835342407,0.8,2.0,0.0
21,0.24707401611977642,0.9683680805176133,0.09611552055293983,328.29734110832214,0.8,2.0,0.0
22,0.24670809271610453,0.966091540857896,0.11000791574849975,328.83313155174255,0.8,2.0,0.0
23,0.24560281046756413,0.9680086268871315,0.0974616624277443,334.5576241016388,0.8,2.0,0.0
24,0.24490081858744736,0.967169901749341,0.09986501671472042,334.03757309913635,0.8,2.0,0.0
25,0.24264669917142498,0.9659717229810688,0.10295672403689114,332.4835708141327,0.8,2.0,0.0
26,0.24297763139065798,0.9672897196261683,0.10263942170994418,329.03188395500183,0.8,2.0,0.0
27,0.24245616251274504,0.967169901749341,0.10846971615652601,331.57075238227844,0.8,2.0,0.0
28,0.24120090577940098,0.9669302659956865,0.10031368738594257,330.99439120292664,0.8,2.0,0.0
29,0.2399720365243589,0.9670500838725138,0.1042830490206118,331.5932128429413,0.8,2.0,0.0
