epoch,train_loss,val_acc,val_loss,secs,alpha,tau,beta
0,2.139604988642425,0.5982142857142857,1.2819020748138428,53.1693799495697,0.6,6.0,250.0
1,1.441819618416779,0.6741071428571429,1.0202953134264265,40.50034236907959,0.6,6.0,250.0
2,1.247538437736833,0.6696428571428571,0.9554560695375715,41.75825119018555,0.6,6.0,250.0
3,1.118137633060995,0.71875,0.9092389515468052,41.15621376037598,0.6,6.0,250.0
4,1.05813398609682,0.7098214285714286,0.8623045597757611,41.597155809402466,0.6,6.0,250.0
5,0.9790223292026567,0.7366071428571429,0.851785693849836,41.36169123649597,0.6,6.0,250.0
6,0.9274793153365256,0.7455357142857143,0.7793049216270447,40.765015602111816,0.6,6.0,250.0
7,0.877834218725673,0.7276785714285714,0.8035632371902466,41.421916007995605,0.6,6.0,250.0
8,0.8343534631705462,0.71875,0.7986467821257455,40.63531684875488,0.6,6.0,250.0
9,0.8086687344179556,0.7589285714285714,0.7585669585636684,40.52950191497803,0.6,6.0,250.0
10,0.7714223486022381,0.7455357142857143,0.7347377708980015,40.24284648895264,0.6,6.0,250.0
11,0.749912943851859,0.7321428571428571,0.7525866883141654,40.42440867424011,0.6,6.0,250.0
12,0.724602388625701,0.7232142857142857,0.7437792505536761,40.30501174926758,0.6,6.0,250.0
13,0.6982311611435845,0.7410714285714286,0.7440951040812901,40.46379780769348,0.6,6.0,250.0
14,0.6713052692543484,0.7276785714285714,0.78196120262146,40.18385863304138,0.6,6.0,250.0
15,0.655962413475472,0.7142857142857143,0.7486704587936401,40.79626107215881,0.6,6.0,250.0
16,0.6400222525407304,0.7321428571428571,0.7889897738184247,40.30313205718994,0.6,6.0,250.0
17,0.6273785104230971,0.7321428571428571,0.7670027698789325,40.62661409378052,0.6,6.0,250.0
18,0.6161289904312816,0.71875,0.7666364056723458,40.262773752212524,0.6,6.0,250.0
19,0.5987909758653002,0.7232142857142857,0.7409740686416626,40.14794039726257,0.6,6.0,250.0
20,0.5925772335038292,0.7232142857142857,0.7529119593756539,40.13438844680786,0.6,6.0,250.0
21,0.5743557554320721,0.7455357142857143,0.7223118458475385,40.09551525115967,0.6,6.0,250.0
22,0.5522099248824581,0.75,0.7301508188247681,40.90114116668701,0.6,6.0,250.0
23,0.5535835008171592,0.75,0.7430857419967651,44.043865442276,0.6,6.0,250.0
24,0.5378788794240644,0.7410714285714286,0.7595093761171613,44.305715560913086,0.6,6.0,250.0
25,0.5430982201034319,0.7410714285714286,0.7657922676631382,40.82268667221069,0.6,6.0,250.0
26,0.5268495462076835,0.7410714285714286,0.7489517160824367,40.695289611816406,0.6,6.0,250.0
27,0.5260975284552751,0.7366071428571429,0.7568942052977425,40.65517783164978,0.6,6.0,250.0
28,0.5231700615610734,0.7232142857142857,0.7908187764031547,40.53070282936096,0.6,6.0,250.0
29,0.5137361401659679,0.7544642857142857,0.7296194178717477,40.68187665939331,0.6,6.0,250.0
