dataset,model,params_m,flops_g,lat_cpu_ms,lat_gpu_ms,peak_cuda_mib
ham10000,resnet50,25.557032,4.133742592,,,
ham10000,resnet18,11.689512,1.824033792,,,
ham10000,mbv2,3.504872,0.32748672,,,
ham10000,effb0,5.288548,0.415145024,,,
medmnist,resnet50,25.557032,4.133742592,,,
medmnist,resnet18,11.689512,1.824033792,,,
medmnist,mbv2,3.504872,0.32748672,,,
medmnist,effb0,5.288548,0.415145024,,,
isic,resnet50,25.557032,4.133742592,,,
isic,resnet18,11.689512,1.824033792,29.85975000046892,2.950399935245514,86.55908203125
isic,mbv2,3.504872,0.32748672,24.697849999938622,4.15227997303009,62.2734375
isic,effb0,5.288548,0.415145024,35.25969999918743,5.470976114273071,69.1083984375
