,precision,recall,f1-score,support
akiec,0.0,0.0,0.0,65.0
bcc,0.0,0.0,0.0,103.0
bkl,0.0,0.0,0.0,220.0
df,0.012535612535612535,0.9565217391304348,0.024746906636670417,23.0
mel,0.07228915662650602,0.08071748878923767,0.07627118644067797,223.0
nv,0.0,0.0,0.0,1341.0
vasc,0.0,0.0,0.0,29.0
accuracy,0.01996007984031936,0.01996007984031936,0.01996007984031936,0.01996007984031936
macro avg,0.012117824166016937,0.1481770325599532,0.014431156153906912,2004.0
weighted avg,0.008188024459096771,0.01996007984031936,0.008771284146164973,2004.0
