model,class,tsne_centroid_dist
resnet18,akiec,7.364173889160156
resnet18,bcc,13.129437446594238
resnet18,bkl,20.773866653442383
resnet18,df,20.09699821472168
resnet18,mel,5.007178783416748
resnet18,nv,3.3729751110076904
resnet18,vasc,9.413603782653809
mbv2,akiec,7.357982158660889
mbv2,bcc,13.132973670959473
mbv2,bkl,20.771883010864258
mbv2,df,20.105140686035156
mbv2,mel,5.008861064910889
mbv2,nv,3.3700942993164062
mbv2,vasc,9.415390014648438
effb0,akiec,7.359240531921387
effb0,bcc,13.142159461975098
effb0,bkl,20.77871322631836
effb0,df,20.112817764282227
effb0,mel,5.000628471374512
effb0,nv,3.371062994003296
effb0,vasc,9.419878005981445
