model,class,tsne_centroid_dist
resnet18,AK,4.386186599731445
resnet18,BCC,1.306587815284729
resnet18,BKL,2.012584686279297
resnet18,DF,4.6473565101623535
resnet18,MEL,4.222763538360596
resnet18,NV,3.6892998218536377
resnet18,SCC,2.265442132949829
resnet18,VASC,0.3155801296234131
mbv2,AK,4.43502140045166
mbv2,BCC,1.2961399555206299
mbv2,BKL,2.0373449325561523
mbv2,DF,4.663225173950195
mbv2,MEL,4.293315410614014
mbv2,NV,3.697397470474243
mbv2,SCC,2.2498931884765625
mbv2,VASC,0.3025481104850769
effb0,AK,4.421797752380371
effb0,BCC,1.2580064535140991
effb0,BKL,2.0216574668884277
effb0,DF,4.736447811126709
effb0,MEL,4.280466079711914
effb0,NV,3.7333474159240723
effb0,SCC,2.3242099285125732
effb0,VASC,0.2923375070095062
