,precision,recall,f1-score,support
akiec,0.0,0.0,0.0,66.0
bcc,0.0,0.0,0.0,103.0
bkl,0.1935483870967742,0.02727272727272727,0.04780876494023904,220.0
df,0.011306532663316583,0.782608695652174,0.022291021671826627,23.0
mel,0.20652173913043478,0.08520179372197309,0.12063492063492064,223.0
nv,0.5757575757575758,0.042505592841163314,0.07916666666666666,1341.0
vasc,0.010471204188481676,0.06896551724137931,0.01818181818181818,29.0
accuracy,0.05087281795511222,0.05087281795511222,0.05087281795511222,0.05087281795511222
macro avg,0.14251506269094044,0.14379347524705954,0.04115474172792445,2005.0
weighted avg,0.42957088142194944,0.05087281795511222,0.07213066424646615,2005.0
