,precision,recall,f1-score,support
akiec,0.0,0.0,0.0,66.0
bcc,0.0,0.0,0.0,103.0
bkl,0.0,0.0,0.0,220.0
df,0.0,0.0,0.0,23.0
mel,0.75,0.013452914798206279,0.02643171806167401,223.0
nv,0.6696651674162919,0.9992542878448919,0.8019150209455416,1341.0
vasc,0.0,0.0,0.0,29.0
accuracy,0.6698254364089775,0.6698254364089775,0.6698254364089775,0.6698254364089775
macro avg,0.20280930963089885,0.14467245752044258,0.11833524842960222,2005.0
weighted avg,0.531307226685909,0.6698254364089775,0.5392829507310346,2005.0
